expert_id,parameter,value
E05,gamma,0.92
E06,gamma,0.80
E07,gamma,0.95
E08,gamma,0.88
E09,gamma,1.02
E10,gamma,0.93
E11,gamma,0.90
E12,gamma,0.85
E13,gamma,0.96
E14,gamma,0.89
E15,gamma,0.91
E01,gamma_T,0.17
E02,gamma_T,0.15
E03,gamma_T,0.13
E04,gamma_T,0.19
E05,gamma_T,0.15
E06,gamma_T,0.12
E07,gamma_T,0.16
E08,gamma_T,0.14
E09,gamma_T,0.18
E10,gamma_T,0.16
E11,gamma_T,0.15
E12,gamma_T,0.13
E13,gamma_T,0.17
E14,gamma_T,0.15
E15,gamma_T,0.16
E01,mu,0.85
E02,mu,0.78
E03,mu,0.74
E04,mu,0.90
E05,mu,0.80
E06,mu,0.68
E07,mu,0.84
E08,mu,0.76
E09,mu,0.95
E10,mu,0.86
E11,mu,0.80
E12,mu,0.74
E13,mu,0.88
E14,mu,0.80
E15,mu,0.83
E01,theta,0.11
E02,theta,0.13
E03,theta,0.10
E04,theta,0.14
E05,theta,0.11
E06,theta,0.09
E07,theta,0.10
E08,theta,0.10
E09,theta,0.11
E10,theta,0.15
E11,theta,0.14
E12,theta,0.16
E13,theta,0.12
E14,theta,0.11
E15,theta,0.12
E01,phi,0.24
E02,phi,0.27
E03,phi,0.22
E04,phi,0.28
E05,phi,0.24
E06,phi,0.20
E07,phi,0.23
E08,phi,0.22
E09,phi,0.26
E10,phi,0.29
E11,phi,0.27
E12,phi,0.30
E13,phi,0.25
E14,phi,0.24
E15,phi,0.25
E01,delta_threat,0.08
E02,delta_threat,0.07
E03,delta_threat,0.09
E04,delta_threat,0.07
E05,delta_threat,0.08
E06,delta_threat,0.09
E07,delta_threat,0.08
E08,delta_threat,0.08
E09,delta_threat,0.07
E10,delta_threat,0.07
E11,delta_threat,0.08
E12,delta_threat,0.06
E13,delta_threat,0.08
E14,delta_threat,0.09
E15,delta_threat,0.08
E01,gamma_threat,0.34
E02,gamma_threat,0.36
E03,gamma_threat,0.32
E04,gamma_threat,0.38
E05,gamma_threat,0.34
E06,gamma_threat,0.30
E07,gamma_threat,0.33
E08,gamma_threat,0.33
E09,gamma_threat,0.36
E10,gamma_threat,0.40
E11,gamma_threat,0.37
E12,gamma_threat,0.41
E13,gamma_threat,0.35
E14,gamma_threat,0.34
E15,gamma_threat,0.35
E01,S_threat_min,0.10
E02,S_threat_min,0.11
E03,S_threat_min,0.09
E04,S_threat_min,0.12
E05,S_threat_min,0.10
E06,S_threat_min,0.08
E07,S_threat_min,0.10
E08,S_threat_min,0.09
E09,S_threat_min,0.11
E10,S_threat_min,0.12
E11,S_threat_min,0.11
E12,S_threat_min,0.13
E13,S_threat_min,0.10
E14,S_threat_min,0.09
E15,S_threat_min,0.10
E01,eta,0.47
E02,eta,0.49
E03,eta,0.45
E04,eta,0.48
E05,eta,0.46
E06,eta,0.44
E07,eta,0.46
E08,eta,0.45
E09,eta,0.46
E10,eta,0.49
E11,eta,0.48
E12,eta,0.50
E13,eta,0.39
E14,eta,0.37
E15,eta,0.38
E01,nu,0.31
E02,nu,0.32
E03,nu,0.29
E04,nu,0.31
E05,nu,0.30
E06,nu,0.28
E07,nu,0.30
E08,nu,0.29
E09,nu,0.30
E10,nu,0.32
E11,nu,0.31
E12,nu,0.33
E13,nu,0.27
E14,nu,0.26
E15,nu,0.27
E01,xi_prep,0.43
E02,xi_prep,0.44
E03,xi_prep,0.41
E04,xi_prep,0.43
E05,xi_prep,0.42
E06,xi_prep,0.40
E07,xi_prep,0.42
E08,xi_prep,0.41
E09,xi_prep,0.43
E10,xi_prep,0.44
E11,xi_prep,0.43
E12,xi_prep,0.45
E13,xi_prep,0.40
E14,xi_prep,0.39
E15,xi_prep,0.40
E01,xi_resist,0.69
E02,xi_resist,0.70
E03,xi_resist,0.66
E04,xi_resist,0.70
E05,xi_resist,0.67
E06,xi_resist,0.65
E07,xi_resist,0.68
E08,xi_resist,0.67
E09,xi_resist,0.68
E10,xi_resist,0.71
E11,xi_resist,0.69
E12,xi_resist,0.72
E13,xi_resist,0.66
E14,xi_resist,0.65
E15,xi_resist,0.66
E01,xi_restore,0.32
E02,xi_restore,0.33
E03,xi_restore,0.30
E04,xi_restore,0.32
E05,xi_restore,0.31
E06,xi_restore,0.29
E07,xi_restore,0.31
E08,xi_restore,0.30
E09,xi_restore,0.32
E10,xi_restore,0.33
E11,xi_restore,0.32
E12,xi_restore,0.34
E13,xi_restore,0.30
E14,xi_restore,0.29
E15,xi_restore,0.30
E01,xi_adapt,0.26
E02,xi_adapt,0.27
E03,xi_adapt,0.24
E04,xi_adapt,0.26
E05,xi_adapt,0.25
E06,xi_adapt,0.23
E07,xi_adapt,0.25
E08,xi_adapt,0.24
E09,xi_adapt,0.26
E10,xi_adapt,0.27
E11,xi_adapt,0.26
E12,xi_adapt,0.28
E13,xi_adapt,0.23
E14,xi_adapt,0.22
E15,xi_adapt,0.23
E01,S_prep_0,0.16
E02,S_prep_0,0.15
E03,S_prep_0,0.14
E04,S_prep_0,0.17
E05,S_prep_0,0.15
E06,S_prep_0,0.13
E07,S_prep_0,0.16
E08,S_prep_0,0.14
E09,S_prep_0,0.16
E10,S_prep_0,0.16
E11,S_prep_0,0.15
E12,S_prep_0,0.14
E13,S_prep_0,0.16
E14,S_prep_0,0.15
E15,S_prep_0,0.15
E01,S_resist_0,0.21
E02,S_resist_0,0.20
E03,S_resist_0,0.19
E04,S_resist_0,0.22
E05,S_resist_0,0.20
E06,S_resist_0,0.18
E07,S_resist_0,0.21
E08,S_resist_0,0.19
E09,S_resist_0,0.21
E10,S_resist_0,0.21
E11,S_resist_0,0.20
E12,S_resist_0,0.19
E13,S_resist_0,0.21
E14,S_resist_0,0.20
E15,S_resist_0,0.20
E01,S_restore_0,0.13
E02,S_restore_0,0.12
E03,S_restore_0,0.11
E04,S_restore_0,0.13
E05,S_restore_0,0.12
E06,S_restore_0,0.10
E07,S_restore_0,0.12
E08,S_restore_0,0.11
E09,S_restore_0,0.13
E10,S_restore_0,0.12
E11,S_restore_0,0.12
E12,S_restore_0,0.11
E13,S_restore_0,0.13
E14,S_restore_0,0.12
E15,S_restore_0,0.12
E01,S_adapt_0,0.09
E02,S_adapt_0,0.08
E03,S_adapt_0,0.07
E04,S_adapt_0,0.09
E05,S_adapt_0,0.08
E06,S_adapt_0,0.06
E07,S_adapt_0,0.08
E08,S_adapt_0,0.07
E09,S_adapt_0,0.09
E10,S_adapt_0,0.08
E11,S_adapt_0,0.08
E12,S_adapt_0,0.07
E13,S_adapt_0,0.09
E14,S_adapt_0,0.08
E15,S_adapt_0,0.08
E01,S_supply_0,0.11
E02,S_supply_0,0.10
E03,S_supply_0,0.09
E04,S_supply_0,0.12
E05,S_supply_0,0.10
E06,S_supply_0,0.08
E07,S_supply_0,0.11
E08,S_supply_0,0.09
E09,S_supply_0,0.11
E10,S_supply_0,0.11
E11,S_supply_0,0.10
E12,S_supply_0,0.09
E13,S_supply_0,0.11
E14,S_supply_0,0.10
E15,S_supply_0,0.10
E01,psi_prep,0.29
E02,psi_prep,0.27
E03,psi_prep,0.26
E04,psi_prep,0.30
E05,psi_prep,0.28
E06,psi_prep,0.25
E07,psi_prep,0.28
E08,psi_prep,0.27
E09,psi_prep,0.29
E10,psi_prep,0.30
E11,psi_prep,0.28
E12,psi_prep,0.27
E13,psi_prep,0.29
E14,psi_prep,0.28
E15,psi_prep,0.29
E01,psi_res,0.23
E02,psi_res,0.21
E03,psi_res,0.20
E04,psi_res,0.24
E05,psi_res,0.22
E06,psi_res,0.19
E07,psi_res,0.22
E08,psi_res,0.21
E09,psi_res,0.23
E10,psi_res,0.24
E11,psi_res,0.22
E12,psi_res,0.21
E13,psi_res,0.23
E14,psi_res,0.22
E15,psi_res,0.23
E01,psi_rest,0.36
E02,psi_rest,0.34
E03,psi_rest,0.33
E04,psi_rest,0.37
E05,psi_rest,0.35
E06,psi_rest,0.32
E07,psi_rest,0.35
E08,psi_rest,0.34
E09,psi_rest,0.36
E10,psi_rest,0.37
E11,psi_rest,0.35
E12,psi_rest,0.34
E13,psi_rest,0.36
E14,psi_rest,0.35
E15,psi_rest,0.36
E01,psi_supply,0.19
E02,psi_supply,0.18
E03,psi_supply,0.17
E04,psi_supply,0.19
E05,psi_supply,0.18
E06,psi_supply,0.16
E07,psi_supply,0.18
E08,psi_supply,0.17
E09,psi_supply,0.19
E10,psi_supply,0.20
E11,psi_supply,0.18
E12,psi_supply,0.17
E13,psi_supply,0.19
E14,psi_supply,0.18
E15,psi_supply,0.19
E01,tau_prep,2.5
E02,tau_prep,2.5
E03,tau_prep,2.6
E04,tau_prep,2.4
E05,tau_prep,2.5
E06,tau_prep,2.7
E07,tau_prep,2.5
E08,tau_prep,2.6
E09,tau_prep,2.4
E10,tau_prep,2.4
E11,tau_prep,2.5
E12,tau_prep,2.6
E13,tau_prep,2.4
E14,tau_prep,2.5
E15,tau_prep,2.5
E01,tau_res,3.0
E02,tau_res,3.0
E03,tau_res,3.1
E04,tau_res,2.9
E05,tau_res,3.0
E06,tau_res,3.2
E07,tau_res,3.0
E08,tau_res,3.1
E09,tau_res,2.9
E10,tau_res,2.9
E11,tau_res,3.0
E12,tau_res,3.1
E13,tau_res,2.9
E14,tau_res,3.0
E15,tau_res,3.0
E01,tau_rest,2.0
E02,tau_rest,2.0
E03,tau_rest,2.1
E04,tau_rest,1.9
E05,tau_rest,2.0
E06,tau_rest,2.2
E07,tau_rest,2.0
E08,tau_rest,2.1
E09,tau_rest,1.9
E10,tau_rest,1.9
E11,tau_rest,2.0
E12,tau_rest,2.1
E13,tau_rest,2.0
E14,tau_rest,2.0
E15,tau_rest,2.0
E01,tau_supply,4.0
E02,tau_supply,4.0
E03,tau_supply,4.2
E04,tau_supply,3.9
E05,tau_supply,4.0
E06,tau_supply,4.3
E07,tau_supply,4.0
E08,tau_supply,4.1
E09,tau_supply,3.8
E10,tau_supply,3.9
E11,tau_supply,4.0
E12,tau_supply,4.1
E13,tau_supply,3.9
E14,tau_supply,4.0
E15,tau_supply,4.0
